"MT-ND1"	"chrMT"	3307	4262
"MT-ND2"	"chrMT"	4470	5511
"MT-CO1"	"chrMT"	5904	7445
"MT-CO2"	"chrMT"	7586	8269
"MT-ATP8"	"chrMT"	8366	8572
"MT-ATP6"	"chrMT"	8527	9207
"MT-CO3"	"chrMT"	9207	9990
"MT-ND3"	"chrMT"	10059	10404
"MT-ND4L"	"chrMT"	10470	10766
"MT-ND4"	"chrMT"	10760	12137
"MT-ND5"	"chrMT"	12337	14148
"MT-ND6"	"chrMT"	14149	14673
"MT-CYB"	"chrMT"	14747	15887
"NOTCH2"	"chr1"	119911553	120100779
"7SK"	"chr1"	120228046	120228295
"LINC00623"	"chr1"	120913184	121009291
"FCGR1B"	"chr1"	121087345	121097161
"FAM72B"	"chr1"	121167646	121185539
"FAM72C"	"chr1"	143955364	143971965
"NBPF15"	"chr1"	144421386	144461674
"FAM72D"	"chr1"	145095974	145112696
"NBPF20"	"chr1"	145289900	145405778
"GPR89A"	"chr1"	145607988	145670650
"PDZK1"	"chr1"	145670852	145708148
"CD160"	"chr1"	145719471	145739288
"RNF115"	"chr1"	145738868	145824095
"POLR3C"	"chr1"	145824088	145844402
"NUDT17"	"chr1"	145845630	145848954
"PIAS3"	"chr1"	145848522	145859836
"ANKRD35"	"chr1"	145866560	145885866
"ITGA10"	"chr1"	145891208	145910111
"PEX11B"	"chr1"	145911350	145918717
"RBM8A"	"chr1"	145917714	145927678
"LIX1L"	"chr1"	145933423	145958017
"ANKRD34A"	"chr1"	145959441	145964575
"POLR3GL"	"chr1"	145964690	145978848
"TXNIP"	"chr1"	145992435	145996579
"NBPF10"	"chr1"	146064711	146229000
"NBPF12"	"chr1"	146938744	146996202
"PRKAB2"	"chr1"	147155106	147172550
"FMO5"	"chr1"	147175351	147243050
"CHD1L"	"chr1"	147242654	147295765
"BCL9"	"chr1"	147541501	147626216
"ACP6"	"chr1"	147629652	147670524
"GJA5"	"chr1"	147756199	147773362
"GPR89B"	"chr1"	147928393	147993592
"NBPF11"	"chr1"	148102046	148152322
"NBPF14"	"chr1"	148531385	148679742
"PDE4DIP"	"chr1"	148808181	149048286
"NBPF9"	"chr1"	149054027	149103561
"FCGR1A"	"chr1"	149782671	149792518
"BOLA1"	"chr1"	149887890	149900798
"SV2A"	"chr1"	149903318	149917844
"SF3B4"	"chr1"	149923317	149927803
"MTMR11"	"chr1"	149928651	149936879
"OTUD7B"	"chr1"	149937812	150010726
"VPS45"	"chr1"	150067279	150145329
"PLEKHO1"	"chr1"	150149183	150164720
"ANP32E"	"chr1"	150218417	150236156
"CA14"	"chr1"	150257251	150265078
"APH1A"	"chr1"	150265399	150269580
"C1orf54"	"chr1"	150268200	150280916
"MRPS21"	"chr1"	150293861	150308979
"PRPF3"	"chr1"	150321479	150353233
"RPRD2"	"chr1"	150363091	150476566
"TARS2"	"chr1"	150487364	150507609
"ECM1"	"chr1"	150508062	150513789
"ADAMTSL4"	"chr1"	150549369	150560937
"ADAMTSL4-AS1"	"chr1"	150560202	150574552
"MCL1"	"chr1"	150574551	150579738
"ENSA"	"chr1"	150600851	150629612
"GOLPH3L"	"chr1"	150646230	150697154
"CTSS"	"chr1"	150730188	150765792
"CTSK"	"chr1"	150796208	150808260
"ARNT"	"chr1"	150809713	150876708
"SETDB1"	"chr1"	150926263	150964744
"CERS2"	"chr1"	150960583	150975003
"ANXA9"	"chr1"	150982249	150995634
"BNIPL"	"chr1"	151036321	151047720
"C1orf56"	"chr1"	151047751	151051986
"CDC42SE1"	"chr1"	151050971	151070325
"MLLT11"	"chr1"	151060397	151069544
"GABPB2"	"chr1"	151070578	151125542
"SEMA6C"	"chr1"	151131685	151146664
"TNFAIP8L2"	"chr1"	151156649	151159749
"SCNM1"	"chr1"	151156664	151170296
"LYSMD1"	"chr1"	151159748	151165948
"VPS72"	"chr1"	151176304	151195321
"PIP5K1A"	"chr1"	151197949	151249536
"PSMD4"	"chr1"	151254709	151267479
"ZNF687"	"chr1"	151281618	151292176
"PI4KB"	"chr1"	151291797	151327715
"RFX5"	"chr1"	151340640	151347357
"SELENBP1"	"chr1"	151364304	151372707
"PSMB4"	"chr1"	151399560	151401937
"POGZ"	"chr1"	151402724	151459494
"CGN"	"chr1"	151510510	151538692
"TUFT1"	"chr1"	151540305	151583583
"SNX27"	"chr1"	151612006	151699091
"CELF3"	"chr1"	151700058	151716803
"RIIAD1"	"chr1"	151710433	151729805
"MRPL9"	"chr1"	151759647	151763496
"OAZ3"	"chr1"	151762899	151771334
"TDRKH"	"chr1"	151770107	151791416
"LINGO4"	"chr1"	151800264	151805419
"RORC"	"chr1"	151806071	151831845
"C2CD4D"	"chr1"	151837819	151840557
"THEM4"	"chr1"	151870866	151909637
"AL450992.2"	"chr1"	151885251	151899333
"S100A10"	"chr1"	151982915	151993859
"NBPF18P"	"chr1"	152018662	152022508
"S100A11"	"chr1"	152032506	152047907
"TCHH"	"chr1"	152106317	152115454
"FLG-AS1"	"chr1"	152168125	152445456
"S100A9"	"chr1"	153357854	153361023
"S100A12"	"chr1"	153373711	153375621
"S100A8"	"chr1"	153390032	153391073
"S100A6"	"chr1"	153534599	153536244
"S100A4"	"chr1"	153543613	153550136
"S100A3"	"chr1"	153547329	153549258
"S100A2"	"chr1"	153561108	153567890
"S100A16"	"chr1"	153606886	153613145
"S100A14"	"chr1"	153614255	153616986
"S100A13"	"chr1"	153618787	153631360
"S100A1"	"chr1"	153627926	153632039
"CHTOP"	"chr1"	153633982	153646306
"SNAPIN"	"chr1"	153658703	153661852
"ILF2"	"chr1"	153661788	153671028
"NPR1"	"chr1"	153678688	153693992
"INTS3"	"chr1"	153728050	153774808
"SLC27A3"	"chr1"	153774354	153780157
"GATAD2B"	"chr1"	153789030	153923360
"DENND4B"	"chr1"	153929501	153946718
"CRTC2"	"chr1"	153947669	153958615
"SLC39A1"	"chr1"	153959099	153968184
"CREB3L4"	"chr1"	153967534	153974361
"JTB"	"chr1"	153974269	153977674
"RAB13"	"chr1"	153981617	153986358
"RPS27"	"chr1"	153990762	153992155
"NUP210L"	"chr1"	153992685	154155116
"TPM3"	"chr1"	154155304	154194648
"C1orf43"	"chr1"	154206696	154220637
"UBAP2L"	"chr1"	154220179	154271510
"HAX1"	"chr1"	154272589	154275875
"AQP10"	"chr1"	154321090	154325325
"ATP8B2"	"chr1"	154325553	154351304
"IL6R"	"chr1"	154405193	154469450
"SHE"	"chr1"	154469772	154502412
"TDRD10"	"chr1"	154502219	154548147
"UBE2Q1"	"chr1"	154548577	154559028
"ADAR"	"chr1"	154582057	154628013
"KCNN3"	"chr1"	154697455	154870281
"PMVK"	"chr1"	154924740	154936719
"PBXIP1"	"chr1"	154944076	154956123
"PYGO2"	"chr1"	154957026	154963853
"SHC1"	"chr1"	154962298	154974395
"CKS1B"	"chr1"	154974653	154979251
"FLAD1"	"chr1"	154983338	154993111
"ZBTB7B"	"chr1"	155002630	155018522
"DCST2"	"chr1"	155018520	155033781
"ADAM15"	"chr1"	155050566	155062775
"EFNA4"	"chr1"	155063737	155069553
"EFNA3"	"chr1"	155078837	155087538
"EFNA1"	"chr1"	155127876	155134899
"SLC50A1"	"chr1"	155135344	155138857
"DPM3"	"chr1"	155139891	155140595
"KRTCAP2"	"chr1"	155169408	155173475
"TRIM46"	"chr1"	155173787	155184971
"MUC1"	"chr1"	155185824	155192916
"THBS3"	"chr1"	155195588	155209051
"MTX1"	"chr1"	155208699	155213824
"GBA"	"chr1"	155234452	155244699
"FAM189B"	"chr1"	155247205	155255483
"SCAMP3"	"chr1"	155255979	155262430
"CLK2"	"chr1"	155262868	155278491
"HCN3"	"chr1"	155277463	155289848
"PKLR"	"chr1"	155289293	155301438
"FDPS"	"chr1"	155308748	155320666
"RUSC1-AS1"	"chr1"	155316863	155324176
"RUSC1"	"chr1"	155320894	155331114
"ASH1L"	"chr1"	155335268	155562807
"MSTO1"	"chr1"	155610205	155614951
"YY1AP1"	"chr1"	155659443	155689000
"DAP3"	"chr1"	155687960	155739010
"GON4L"	"chr1"	155749662	155859400
"SYT11"	"chr1"	155859567	155885199
"RIT1"	"chr1"	155897808	155911404
"ARHGEF2"	"chr1"	155946851	156007070
"SSR2"	"chr1"	156009048	156020951
"UBQLN4"	"chr1"	156035299	156053798
